algorithm,seed,step,success_rate,mean_score,solved_count,total_episodes,filled_mean,violations_mean,zero_cand_mean
contraction_zonly_fast,456,1700,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,1750,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,1800,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,1850,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,1900,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,1950,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2000,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,2050,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2100,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,2150,0.12,10.6,6,50,14.72,2.06,0.16
contraction_zonly_fast,456,2200,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2250,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2300,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2350,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2400,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2450,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2500,0.12,10.5,6,50,14.74,2.12,0.16
contraction_zonly_fast,456,2550,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2600,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2650,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2700,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2750,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2800,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2850,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2900,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,2950,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,3000,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,3050,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3100,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,3150,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3200,0.1,10.48,5,50,14.72,2.12,0.16
contraction_zonly_fast,456,3250,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3300,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3350,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3400,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3450,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3500,0.1,10.54,5,50,14.7,2.08,0.14
contraction_zonly_fast,456,3550,0.1,10.54,5,50,14.7,2.08,0.14
